DateKey;date_invoiced;year_date_invoiced;month_date_invoiced
3dab9f0a30c34afe3e907f91cbb67a8a393f03e0;2007-02-22;2007;2
12671f9e0831e1c48229df4c5e396210946bcc2a;2008-07-18;2008;7
d7b7845d57ee51a18bb9641697ded40a3f767611;2010-04-23;2010;4
af7c0e13dada67c539358b1b3cbd1a15f5012343;2010-06-11;2010;6
a9bdbf7ed2ef841590e7152831c2e32c3d34a203;2011-04-19;2011;4
6def1d0e07ebd592da5f3de8c21d15e28f01f036;2012-12-14;2012;12
f2b4a733d4d1f204057b1e69d04c2976fd2c1393;2013-01-08;2013;1
5173f51ae5fa9c050a4a8a71b717cbcd9b7ba8e0;2014-10-06;2014;10
880099c3c8d9ee6fc15eabc182a3470951e3ea2b;2015-04-23;2015;4
6f833a1a7913a9344168b5105791f361ccd6fa3f;2007-06-26;2007;6
a750f4b2fc61d78469ca69411fbe82435d05b8d6;2008-02-07;2008;2
c92dc10b4783ba65ddbfaa74db42f1f6e161739e;2010-12-17;2010;12
e8b0279655a862c0d0736ae033475684136748c6;2011-05-17;2011;5
597b94aa5be839162bca502440565e60bc547ebb;2012-07-23;2012;7
d551a1c094f8cd74cb0381ed7595fd8485b2ad0f;2014-12-05;2014;12
224b325da1b6fb9ecfe6e2347a86bf6ef0480a3e;2015-09-16;2015;9
f4b35608a9ea4dfe12ce4b4bb44f05b44c4bd723;2016-05-12;2016;5
7d4fd66a0a530f1be938eb68d66c19e5197581fb;2016-05-25;2016;5
aa08a0e00840531afbf6fb22afa22d81cab33585;2007-01-04;2007;1
9bcd15d81bcb8824a1b37d78826ade5d4d675287;2008-01-07;2008;1
ac5b0b254eabc2649f03d3e6a356d9c3cf33ea43;2008-03-20;2008;3
1fabec8d4abbaa4d33aea841e8fe5bb0ad71a24c;2008-06-16;2008;6
634b9a6e6913557f2c300c8ee9cbaca80b7382b2;2009-10-07;2009;10
8747e879f25100bc6719369950224f518f7506c4;2010-03-03;2010;3
bf72a8c86adf71808b4fc6e3384e7ed4b08a78ca;2010-07-23;2010;7
e040a1a52190aca79aed6109f9c734f23ad9f7d0;2012-03-09;2012;3
93eb5be2ecf94d716b12aa5028172cd669be5021;2016-06-29;2016;6
fb124f3e7906cf6466c532fc3444999628fee30e;2007-01-15;2007;1
16a442af98bf6ba52740cffe315c90b3ad2b772c;2008-01-16;2008;1
959676117256fe613d6e4658ec283c790001e235;2008-02-07;2008;2
133aac80e7454886a2329c5eb0d80f2d0ded91e9;2008-04-28;2008;4
fefa3953fd3b050d20c5e9fbccfdefef7ec40edf;2008-06-10;2008;6
e5cb54b2168c9f854d34bda0a971eff6b347cf22;2014-02-20;2014;2
812c67f3b41046c692f5db492e9f4b3cbbd4785a;2014-03-27;2014;3
1254723485b540c7a0fe80c3da580907367790d0;2015-01-14;2015;1
6f94ee1a6b01579a2bf25f3a20f2d3952c233ae4;2016-05-06;2016;5
100fa5e9e615dea6a53de7f63c62d17b5e671fc4;2007-03-13;2007;3
9cc6548d6f7bacfa309039f03f29c542f49c813b;2007-08-02;2007;8
d13609f0c3bf30e3c140c32177c1c2ae7ec558cc;2007-09-12;2007;9
98d5a4a97df128fee0b726c2753f25b66baa06d1;2009-11-04;2009;11
d9d11455afc930b0324ba450b8faefa2a4858d21;2009-12-08;2009;12
1cef38c0127e4d4be26f62353b562c25d9e4885b;2012-08-22;2012;8
8de6411c0ea0cd569a423ca1f367ef753948c2f4;2012-08-23;2012;8
3a32a1b66e72520428ff95a45887e7eebbcc21b6;2013-11-06;2013;11
1cbf5be80b90a208bf7e6a4ff114e0465278bd1e;2007-01-02;2007;1
13a6f995221e8362f1a6ea65262d9c1306365497;2007-01-23;2007;1
97bd847b47e744d1bd74c65e1757fbcba568c428;2007-04-16;2007;4
cdefea6010a51b20ecd481d28e2b0c0fddb7027a;2007-05-21;2007;5
aa7cb20c5b28018f4d005d57802b36a29f746bf8;2009-10-02;2009;10
fbbcd52725e07c28e8126600ec8fe3dd63a8d421;2010-10-05;2010;10
fb0524d5d938c2a983c15173d754444c9fd439ca;2012-07-24;2012;7
170efbc46454234c2610fda7e87e9988544c228e;2016-05-25;2016;5
27cb22afb177c0865dfa2fb38d20e4b01df70ea2;2008-11-27;2008;11
0a93b09db2ea7b0836785b9cb698def8208ef826;2009-07-23;2009;7
07674e13b8febc9ffc3789d9a14bd28aac2016df;2009-09-09;2009;9
d3a014091c5684ddd73ca06281db4b94da0f64f8;2011-03-15;2011;3
