MarketKey;platform;market_level1;market_level2;market_level3
6ee8f3b20bac5b9b0cd2d8a381184127672ca68d;undefined;construction equipment;undefined;undefined
bb7aff7005de32d6bb17c96498656ba28bb9e635;basic market;material handling;continous handling;stationary conveyor
f5e0bfe13f9b22c6cc14bd01b4d2c2b939eadcfc;industrial;environment;recycling;wood tub grinder /  chipping plant
6c0ae9feb18376a6c0657be511fc33e601453799;basic market;agriculture;unknown segment;unknown application
8a39dcea59a31d04f336a34723a3484758b2fd64;key market;material handling;forklift;side loader forklift
ef0f80a5d85b497b940b47f974bc03ed397ac0fa;basic market;mining & quarry;ore extraction;shearer (longwall mining)
08fd05d01e0aa2add6c07d9658f95439003c9b66;key market;material handling;forklift;truck mounted forklift (piggy back)
1af38b2c3a7a7039c46581235ff58684b42cb6d5;basic market;on rail;railtrack infrastructure (construction or maintena;on rail other railtrack infrastructure equipment (construction or maintenance)
2115e5daa18755cf31b30bebb967ea11c349bbdb;basic market;marine;oil, gas & telecom (boats & offshore platforms);deck machinery (crane, safety deck devices)
91246a0a7ff87952399bcfe1ce66d83c51a25e27;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;rock saw (self propelled)
4583a39a758b5c1fe7eb0071af8b4f6c07746e3b;truck & bus;on road;unknown segment;unknown application
5a70ed99f735e33216315ea3fa359153151ceda5;basic market;energy;power generation;water power generator
c8dcd2d1c2e2a95fcbd5f394b00607e847dc3b25;basic market;material handling;forklift;articulated forklift truck
786d27757e2985059c0ea76b495bd52149c156ab;undefined;on road;trucks;undefined
882f3438df2bf873b501acbb40df1e081cb42757;industrial;mining & quarry;rock processing;mobile crushing plant
aaaaf369c66ddbfe625ded1bb974e01008ad579c;basic market;environment;urban & turfcare;brush cutter / mulcher  (machine)
53f3626a355ec2fe82668aa0a7eba51f07d0b844;basic market;construction equipment;earth & rock moving;spider excavators
8b684afef8c03fa48fd452c67435f2a67ef4cbf7;undefined;energy;unknown segment;undefined
8d211a1fb5b4ab184d48b2e19fab82df42dfae9d;basic market;construction equipment;concrete;concrete pump
2e246a2768bd057dbaf94785d9d35905e7a008af;basic market;material handling;forklift;attachments for material handling equipment
76cb2cc398ca0d0339b50a3c764a46e8905871ce;key market;construction equipment;earth & rock processing (drilling, tunelling, tren;horizontal directional drill (=hdd)
387e39cf9c9d7bea5f0ad081635a7e9f50fe5472;key market;material handling;forklift;4 ways forklift truck
c26b1b9ef69378ceda53959b802097156662d36e;industrial;industry;unknown segment;unknown application
c3efd597d4b6f314d33441cbf6bc7cada6bb6f50;undefined;undefined;undefined;undefined
868586195b082616c3c22b501e6ecf78fb204e18;basic market;material handling;harbour & port handling;straddle carrier, rubber tire gantry crane
fca2ed89b6110b6fd99df824ef41a8898065a1ae;basic market;mining & quarry;mine infrastructure;other mining & quarry infrastructure equipment
1f0d5977daca5ee43fc23e3887f35c95120a813c;truck & bus;on road;trailer - on road;on road trailer - others
77cef892dd548a0ea39f54ceccdd582357d8a477;key market;construction equipment;earth & rock processing (drilling, tunelling, tren;grinding, milling, cutting head  (attachment)
3860ff32f489330d475656b813d99a0171c6f6f7;basic market;construction equipment;road construction & maintenance;hot recycling, surfacing & repairing (self propelled)
5f325c09a388979fa15785c9ddf6eafcc0f9dcdb;key market;environment;urban & turfcare;multipurpose tools carrier
64a94a490be52d31271efd7dbb1c941495c7c78d;undefined;construction equipment;compaction;undefined
dacb34dba10c8eaf00f74535f3754f5c50b131f4;undefined;industry;unknown segment;undefined
ededc716cd491bcfd99b428087d8d7a41b996d2b;undefined;agriculture;unknown segment;undefined
448bf514e3067ecacc69c1778f54b1f1afe99b83;industrial;industry;mixers, silos and centrifugal equipment;fixed mixer
b3f4cc6676e077e8d507cb4efb028cbcb2f46f2f;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;pipe or cable laying machine
de683259e7cefc9328bb06d56b886db6a3987135;road machinery;construction equipment;compaction;split drum compactor
e057becb100aae780955c25f6b82f7f8ea946ce5;combine harvesters;agriculture;cereals, cotton, & feed/forage harvesting;combine harvester (cereals) & cotton picker
483cd74f6175e4e8a538497d421ec23be97d1145;basic market;environment;snow;ropeway or cablecar, skilift
574cec43749f6a66e551b40042aca9dd70ebe99a;industrial;on rail;unloading;wagon tippler
71b865ce641b7062b7d131fa8b5861116d72b266;truck & bus;on road;trucks;other trucks
06db845566c2e0d94374f87302508763266ac858;industrial;industry;manufacturing equipment;other industry manufacturing equipment
a714fb1fcaf1aa536cf7c1b09c7db171333f1dcb;key market;on rail;railtrack infrastructure (construction or maintena;rail road  inspection machine
0fb50a474bf985479a5f87338b11b1dc26a53d51;road machinery;construction equipment;road construction & maintenance;cold planer / milling machine
caa8a977e19b069eba01aefbda0329a45221ee6e;key market;construction equipment;earth & rock moving;midi excavator (6t < x <12t)
4a08938e76750f8e3c021cded79cddccd383b98f;key market;material handling;airport handling;airport palett / container carrier
75a388246d6d3e8d578e8a8fb0e9f78133ab9983;key market;mining & quarry;mine infrastructure;underground drilling machine (room & pilar mining)
d75d4a9465f89f85c9c9d9998c9e017411619fa9;industrial;construction equipment;earth & rock processing (drilling, tunelling, tren;auger drives (attachment for excavator)
e27262123247f94b7a7668450f159013ec0aa115;key market;marine;fishing;winch drive (net fishing)
3cb5793f1e681d49f6cd0a79b57ba91949874773;industrial;construction equipment;earth & rock processing (drilling, tunelling, tren;vertical drill rigs / pile driving rigs
b3b6c63bfe489109eef1e37fbebe29a09b87a755;industrial;on rail;unloading;side arm charger
4e9e3e50ebd4aea01f447d18057d8994b0daa8a9;truck & bus;on road;bus (shuttle, urban, school);urban bus -  single chassis
a8056442750e2c42635641456d845670860cc898;truck & bus;on road;vocational trucks (6t < x <16t);vocational trucks (6t < x <16t)
a3135a4f817df7dbc8ffd677d2680545ba7d0d06;undefined;energy;oil, gas;undefined
ad8dc538be5d60f53c8cdc73299d5e1a4b65a712;key market;agriculture;wine, fruit, vegetable & cane equipment;vegetable harvester (trailed)     (potato, sugar beet, …)
b23b4477807a4951e285709d35e6876c079e1e9c;key market;agriculture;soil & crop treatment;spreader (trailed) (fertilizer, manure)
dd656887dae4897cc682bd9021a70ae45e968246;basic market;agriculture;forestry;timber handler, log forwarder (machine)
078b091621709a35afd129d57d63d728e629be54;sprayer & ag machines;agriculture;wine, fruit, vegetable & cane equipment;grape harvester (trailed)
