ProductKey;item_status;item_size;item_create_date;product_aging_year;ntile20_unit_price_corp
0010bfefaf42a6902605e19bd918991ca02bf3a0;AMONLY;Motor R - Small;2014-02-10 10:14:08.000;-7.0;11
0111711bbcb121993dca7206528bf482f699a792;PROTOTYPE;Motor R - Medium;2014-03-27 09:42:02.000;-4.0;5
02eb59d3d237ba9bdf30e7b60f9ee95504b8ed39;AMONLY;Motor R - Medium;2014-01-10 17:56:35.000;-2.0;3
0dda638e30cde62894511be7fe163d789e253be0;AMONLY;Motor R - Large;2014-02-18 10:34:54.000;-5.0;2
1042a11d90ea9ce6dd25beda08424621fac2e6f5;AMONLY;Motor R - Medium;2014-02-12 09:00:40.000;-7.0;3
109e935cd79c8b72eb939f649472311fb0272f65;SERIES;Motor R - Large;2014-02-18 10:34:51.000;-2.0;1
134213220a595515b03e334d9f5289f770da4d02;SERIES;Motor R - Small;2014-06-09 15:44:21.000;1.0;16
13ba8acb253d51305c79763d7523b9578c56c461;SERIES;Motor R - Medium;2014-02-17 14:23:14.000;-3.0;2
13e0189441d16244e1e76715332b22d5feb67510;SERIES;Motor R - Medium;2014-02-17 14:24:08.000;-2.0;3
14e0c275156deb9120a1c41bd2c352dd8d56406c;SERIES;Motor R - Large;2014-02-18 10:34:48.000;-4.0;3
1565798ced2a6e89adf8a235e9966c30a1827ff1;SERIES;Motor R - Medium;2014-01-09 14:18:19.000;0.0;9
18d47c7c3db3d78f481b4de19b6e29169fcd9df0;SERIES;Motor R - Small;2014-02-10 10:14:22.000;0.0;14
194e4bb65674671fa5a7e046991d0ca1b29d5f29;AMONLY;Motor R - Large;2014-02-20 09:05:47.000;0.0;1
1ccffe263a34484ce6e380ae362afd5adf329412;SERIES;Motor R - Small;2014-02-07 15:08:10.000;-5.0;12
1d11a6a47de082932b4d9b92df1ec429e971f14d;AMONLY;Motor R - Medium;2014-05-29 11:05:42.000;-4.0;8
1fe92958eea720e72fbce468162771c1a282f492;SERIES;Motor R - Large;2014-02-18 10:31:44.000;-1.0;1
20b6a16b08c321fb63097d441263faccbbb07537;SERIES;Motor R - Small;2014-02-07 15:08:22.000;-6.0;14
225399fad3338867a8e44149fe83c7da676e9b85;SERIES;Motor R - Small;2014-02-10 10:15:17.000;-2.0;9
23244e5dbd08d6df8961802f8a953fb8ffc746b5;SERIES;Motor R - Medium;2014-02-10 13:52:56.000;-4.0;9
2394959d461de07eaf6ce3eb47f6e1cce4c5180a;SERIES;Motor R - Large;2014-02-18 10:33:51.000;-1.0;1
24bef18aea1423efc409aeb0bb150e92d1beb2b8;AMONLY;Motor R - Medium;2014-02-17 14:24:19.000;-5.0;4
257311062bcad861a16f9d8033b0a16277ff1c48;AMONLY;Motor R - Medium;2014-05-29 11:05:44.000;-4.0;10
258b9de44689d490d7931548ab5829dd3b7c246d;SERIES;Motor R - Medium;2014-02-12 09:00:22.000;2.0;6
268ed214d9c07891756939dea515d8a75b3dc870;SERIES;Motor R - Medium;2014-02-27 14:43:04.000;;3
2735654731d34ae5f9f3f9f12698f5a07a6a4bb6;SERIES;Motor R - Small;2014-02-10 10:15:14.000;-4.0;9
289e5b7a76e413a2e7034f2a32d805185a9b9cc8;AMONLY;Motor R - Medium;2014-05-29 11:05:44.000;;11
291851ad97870ed18f18fec94322d4b5a7150494;AMONLY;Motor R - Large;2014-02-19 12:31:25.000;-3.0;1
2a021db624ce926bc842d4cae165f810b171698c;SERIES;Motor R - Small;2014-02-07 15:06:10.000;-3.0;5
2bc8969cceb9a771f862a7a8380f0ef3eabb7955;SERIES;Motor R - Medium;2014-02-11 12:48:40.000;2.0;6
2e45efde3bda299524fbb7479dff8f15a031300e;SERIES;Motor R - Small;2014-05-29 11:05:43.000;-2.0;15
3142e1f9e2904fa994626587d4244d1c6b0d6bd7;SERIES;Motor R - Large;2015-04-14 13:01:30.000;0.0;1
3352b81d59ba0ab1a77ffa7ba3f6a637945560cb;AMONLY;Motor R - Small;2014-02-07 15:07:22.000;-5.0;12
350e3e80a69b7567b738541aa9fa50998815232b;SERIES;Motor R - Medium;2014-02-20 09:59:20.000;-4.0;3
356e3024db468d2b303ae0737171dbfaee6442b4;SERIES;Motor R - Large;2014-02-20 09:58:32.000;0.0;6
3620642176cdb37459f65df1024e3bee1aa17873;AMONLY;Motor R - Medium;2014-01-09 09:26:16.000;1.0;9
36a5bf66acf6751308e3a558ff07251ccf9c1f71;AMONLY;Motor R - Small;2014-02-06 12:56:28.000;-7.0;14
3912afa3bc4be3f95db09ffc1d74e8fad2abb2a6;AMONLY;Motor R - Small;2014-02-07 15:03:46.000;;17
396a7bd4c188d9353803a19b2f82b02483ac150e;PROTOTYPE;Motor R - Medium;2013-11-28 15:55:25.000;1.0;20
397f5703ff31042ef111e3fbb92c2442451cbd54;SERIES;Motor R - Small;2014-02-07 15:09:45.000;-2.0;12
39d0e1890dd510b6edae7579e3a2c448623ebea4;AMONLY;Motor R - Medium;2014-02-12 08:59:06.000;-5.0;8
3a646624d404224edaefa745beb1d515c6470d94;SERIES;Motor R - Medium;2014-05-29 11:05:43.000;0.0;4
3b0ef424b61748502321894dd10460c464dfa6a5;SERIES;Motor R - Small;2016-04-04 08:59:23.000;0.0;11
3dcc46f8b7905dce04b79fbb866febc212325445;SERIES;Motor R - Small;2014-02-07 15:09:36.000;-4.0;11
3e9c93255627094363e7b910edb6a219e14c4a86;SERIES;Motor R - Medium;2014-02-11 12:48:27.000;-4.0;5
3ef12c2593704e94543b69a7bec1cd75a75d754a;AMONLY;Motor R - Large;2014-02-19 12:31:19.000;-8.0;2
3f767a3057c1b457922ec424907273a437d2a209;SERIES;Motor R - Medium;2014-02-11 12:47:27.000;-7.0;7
432c33044e8aa0d83180d2b0e5d198063f7c8d69;SERIES;Motor R - Medium;2014-01-10 17:55:07.000;-2.0;3
43405af38a814009c5832c155cdee998a6bae024;SERIES;Motor R - Large;2014-02-19 10:00:22.000;-5.0;1
442358e09a90135a23d5214806574e85073cb346;SERIES;Motor R - Small;2014-05-29 11:05:44.000;-2.0;17
443665521c587b9056a7378f0b548972425d22f2;SERIES;Motor R - Medium;2014-02-10 13:54:48.000;-5.0;4
448120593b9e12798e4a665b05dd751dcee1819d;SERIES;Motor R - Large;2014-09-22 08:35:26.000;0.0;1
44da297d0a43d555393d92f82a11a69c7951c756;SERIES;Motor R - Medium;2014-02-17 14:23:37.000;-5.0;5
45214cada8c1603d61cc10ef4472eeb8b2c868f7;SERIES;Motor R - Small;2015-02-04 07:30:59.000;0.0;10
46552ae4601e4749ee7dfffc5ec62b258d057661;SERIES;Motor R - Small;2014-02-07 15:09:07.000;-2.0;14
4706d12055bfc77b9ada1d9544ff4466499edc02;SERIES;Motor R - Medium;2014-01-13 11:16:17.000;2.0;4
47fd3073b6aab2f0b4d42d7780708af78f44f55b;AMONLY;Motor R - Medium;2014-02-13 09:14:58.000;-6.0;8
4a345bee6d7960b14b2e0e278b1f6924e8c51dda;AMONLY;Motor R - Medium;2014-02-11 12:49:21.000;-7.0;9
4b6a679c24adcb759bc2d312a30323fe1e91054e;SERIES;Motor R - Medium;2014-02-13 09:12:09.000;-1.0;8
4e58b5c31b650ab7f0c86c9453dd89b49bb795c6;SERIES;Motor R - Medium;2014-02-13 09:12:09.000;-6.0;4
4ea7f6250f684cc374b48e00f1c71bbdc095cd4f;SERIES;Motor R - Medium;2014-02-13 09:14:12.000;-6.0;8
50028ddd69da8fd7202fcf331af5969c2e29329a;AMONLY;Motor R - Large;2014-02-19 10:00:12.000;;20
51688258d3b748bc362719a8693882bf711ca605;SERIES;Motor R - Small;2014-02-07 15:03:33.000;0.0;10
51d7e85be6065457806a2719d9354079f975facf;SERIES;Motor R - Small;2014-02-07 15:06:23.000;-5.0;13
52cbac548b41545d2eee8d04cf8ebcdbf29abaef;SERIES;Motor R - Medium;2014-02-17 14:24:27.000;-4.0;3
53da420f0f346dcf7e6234e854798d12202de820;SERIES;Motor R - Small;2014-05-29 11:05:44.000;-5.0;17
53ed6e4a548012dbd410d2143ae6b4e52b8a82bd;SERIES;Motor R - Small;2014-02-07 15:06:42.000;-5.0;14
544b2bcada22196ae41b72943d07732b0fc17871;SERIES;Motor R - Small;2014-02-07 15:10:02.000;-1.0;9
54566d5075cebe558e92f09daf3b1a5610c31ffa;SERIES;Motor R - Medium;2014-02-11 12:48:39.000;-7.0;8
5716a1f2d092e6f4e8aa987b4962abc257b807bf;SERIES;Motor R - Medium;2014-07-09 08:52:57.000;0.0;1
57a882bf44d1432cff88ea697f35dd3e1cebc199;PROTOTYPE;Motor R - Medium;2014-02-17 08:34:40.000;0.0;2
58aa8919374535ffebcdf794f6b55f2375308a01;SERIES;Motor R - Medium;2014-07-18 11:02:19.000;1.0;4
596560913d67b4d416dcff2cf7faa0fc277d989c;AMONLY;Motor R - Small;2014-02-10 10:15:01.000;-5.0;11
596872a5a96404248221b416d1d55d6e34b5c732;SERIES;Motor R - Medium;2014-02-17 14:23:53.000;-2.0;8
59959bc681e71cec294568fbc68d2ae567b15b82;AMONLY;Motor R - Large;2014-02-19 12:32:10.000;-1.0;1
5b72dab3d94a9f579a9123ee8d4c45e97af924c2;SERIES;Motor R - Small;2014-02-10 10:14:28.000;-6.0;16
5c7f25502dfbcc67ae2c70c4041f3a0928e132ec;SERIES;Motor R - Medium;2014-02-13 09:14:23.000;-6.0;8
5ccb4350d6a9e4f68e561f18e9e834246c10857e;SERIES;Motor R - Medium;2014-02-11 12:48:48.000;-7.0;7
6105b5d5ee34865efa97f31b00cc339f8841bb93;SERIES;Motor R - Large;2014-02-20 09:58:24.000;-1.0;2
614a7852b3c50e8a30fcd1464aff6d4acb6adcd8;SERIES;Motor R - Medium;2015-03-25 07:58:40.000;0.0;3
628bf780a48a39a25a1345af7c28a13c7cc87ca2;AMONLY;Motor R - Small;2014-02-06 11:27:55.000;-7.0;18
64625daed32e7dcfaa04afd9d56222fdd08588da;SERIES;Motor R - Medium;2014-02-10 13:53:19.000;-2.0;3
64a84f54aa858004f48a920b34ffede1dcc56955;SERIES;Motor R - Medium;2014-03-27 08:55:03.000;-2.0;4
65b416d53dc576531d9e6b4305a7c9b514f7c7ea;SERIES;Motor R - Small;2014-02-07 15:03:06.000;-6.0;11
687631d8446f77229d9fc4cbd208f4fa25056d46;SERIES;Motor R - Small;2014-05-29 11:05:42.000;-7.0;8
68d7f9e5ecb2621bc6fa3edf604730c6fa88a45a;SERIES;Motor R - Medium;2014-02-12 09:00:37.000;-3.0;5
6aac3a8c1cfd34550aadd71d57b916b8defdb8b1;SERIES;Motor R - Small;2014-02-07 15:06:51.000;-2.0;15
6be8182306bd14423edaf7d2d116c1e1ca654beb;SERIES;Motor R - Small;2014-02-20 09:59:04.000;-7.0;13
6db70f3768413aaf19467cc8c0c2425f00708cfb;SERIES;Motor R - Small;2014-07-17 10:26:54.000;0.0;12
6e8b2c5fe9c432f1e20b925bac1eef3c9bb71357;SERIES;Motor R - Small;2014-02-07 15:06:10.000;-7.0;8
6eb52793813a1037232818b04bb9cd449366b9e9;SERIES;Motor R - Medium;2014-02-10 10:15:47.000;-3.0;4
6edd9b995492cdc13a95880d80f051ff755fb59f;SERIES;Motor R - Small;2014-02-07 15:08:14.000;-4.0;14
70aa735be6051b2e7a9d1571b897d85a3b0aed04;PRESERIES;Motor R - Medium;2014-01-17 15:00:34.000;2.0;3
72b063ca234630b90fc6293f12a767dc4aea69a7;AMONLY;Motor R - Medium;2014-02-13 10:24:59.000;-6.0;5
738050157c94ed2f1101bc0eda477a985c40933d;SERIES;Motor R - Small;2014-05-29 11:05:42.000;-5.0;18
73927706326ebf955d9f937ec0dc4f29568fa2a0;SERIES;Motor R - Small;2014-02-10 10:14:56.000;-1.0;11
7440b858887275604df09ac7f7aea94ac3b2a148;AMONLY;Motor R - Medium;2014-02-20 09:58:13.000;-7.0;11
75aa5115b0ccb95e7a07a16c3706d409a5f2d3b7;SERIES;Motor R - Medium;2014-02-17 08:34:58.000;-2.0;2
78e17722cf1bb745f4f16df601b086c6be056919;SERIES;Motor R - Small;2014-05-29 11:05:43.000;2.0;13
7dcd9e777f0939656cd08f4665aafd68854ee1d8;SERIES;Motor R - Small;2014-04-17 12:49:40.000;-1.0;18
7eba93151aa2f6ec6ffec1d34f5d01d123e4389d;SERIES;Motor R - Small;2014-02-06 12:56:24.000;-5.0;14
810dc93de3ce0bda38da222548c942ce85e89a9c;SERIES;Motor R - Medium;2014-04-17 12:49:52.000;1.0;3
81927e6f13b06feb77060d4a1bc1fd51f20718ad;SERIES;Motor R - Medium;2014-02-17 08:32:54.000;-1.0;3
857f6ab4e853f51d589c53bfefead52485399b86;SERIES;Motor R - Medium;2014-02-11 12:47:07.000;-5.0;7
86b1da4fb294d6993fb9dbd8d624a3b04149711c;SERIES;Motor R - Small;2014-02-20 09:59:10.000;-7.0;16
87240403b9902976ab3559d46b9934feb84ed9a5;PROTOTYPE;Motor R - Medium;2014-02-04 08:54:12.000;2.0;2
8728f151be3a38793fee51c5e453b4415c1138ef;SERIES;Motor R - Medium;2014-02-10 13:55:19.000;-6.0;5
89e0a348c9c656caf37d0201dde217ed30aa6d50;SERIES;Motor R - Small;2014-02-07 15:02:43.000;1.0;14
8bb5bc372ab43d81b168de6bc91922e56dab4775;SERIES;Motor R - Medium;2014-02-17 14:23:26.000;2.0;6
8e3291d776992dadb098db5a02379492a5942fbe;AMONLY;Motor R - Medium;2014-02-11 12:48:22.000;1.0;5
