"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-01","Jan-2006","PC","Percentage","0","Units",,,2.184466,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-02","Feb-2006","PC","Percentage","0","Units",,,2.163461,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-03","Mar-2006","PC","Percentage","0","Units",,,1.911589,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-04","Apr-2006","PC","Percentage","0","Units",,,1.902497,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-05","May-2006","PC","Percentage","0","Units",,,2.021403,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-06","Jun-2006","PC","Percentage","0","Units",,,2.137767,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-07","Jul-2006","PC","Percentage","0","Units",,,2.021403,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-08","Aug-2006","PC","Percentage","0","Units",,,2.021403,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-09","Sep-2006","PC","Percentage","0","Units",,,1.652893,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-10","Oct-2006","PC","Percentage","0","Units",,,1.534829,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-11","Nov-2006","PC","Percentage","0","Units",,,1.777251,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2006-12","Dec-2006","PC","Percentage","0","Units",,,1.775148,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2007-01","Jan-2007","PC","Percentage","0","Units",,,1.781473,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2007-02","Feb-2007","PC","Percentage","0","Units",,,1.882353,,
