"COUNTRY","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","1998","1998","HA","Hectares","3","Thousands",,,226,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","1999","1999","HA","Hectares","3","Thousands",,,223.4,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2000","2000","HA","Hectares","3","Thousands",,,201.3,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2001","2001","HA","Hectares","3","Thousands",,,190.3,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2002","2002","HA","Hectares","3","Thousands",,,198.5,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2003","2003","HA","Hectares","3","Thousands",,,206,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2004","2004","HA","Hectares","3","Thousands",,,204.4,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2005","2005","HA","Hectares","3","Thousands",,,204.9,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2006","2006","HA","Hectares","3","Thousands",,,196.7,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2007","2007","HA","Hectares","3","Thousands",,,198.6,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2008","2008","HA","Hectares","3","Thousands",,,194.6,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2009","2009","HA","Hectares","3","Thousands",,,193.6,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2010","2010","HA","Hectares","3","Thousands",,,176.48,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2011","2011","HA","Hectares","3","Thousands",,,183.27,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2012","2012","HA","Hectares","3","Thousands",,,174.2,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2013","2013","HA","Hectares","3","Thousands",,,181.71,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2014","2014","HA","Hectares","3","Thousands",,,180.8,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2015","2015","HA","Hectares","3","Thousands",,,179.1,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2016","2016","HA","Hectares","3","Thousands",,,176.41,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2017","2017","HA","Hectares","3","Thousands",,,175.75,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2018","2018","HA","Hectares","3","Thousands",,,173.37,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2019","2019","HA","Hectares","3","Thousands",,,170.9,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2020","2020","HA","Hectares","3","Thousands",,,160.46,,
"HUN","Hungary","PERMANENTCROPS","Permanent Crops","2021","2021","HA","Hectares","3","Thousands",,,149.33,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2000","2000","HA","Hectares","0","Units",,,340200,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2001","2001","HA","Hectares","0","Units",,,430600,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2002","2002","HA","Hectares","0","Units",,,478700,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2003","2003","HA","Hectares","0","Units",,,516111,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2004","2004","HA","Hectares","0","Units",,,488752,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2005","2005","HA","Hectares","0","Units",,,578874,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2006","2006","HA","Hectares","0","Units",,,604404,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2007","2007","HA","Hectares","0","Units",,,556273,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2008","2008","HA","Hectares","0","Units",,,628556,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2009","2009","HA","Hectares","0","Units",,,703678,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2010","2010","HA","Hectares","0","Units",,,703678,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2011","2011","HA","Hectares","0","Units",,,841216,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2012","2012","HA","Hectares","0","Units",,,833883.3,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2013","2013","HA","Hectares","0","Units",,,869238.67,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2014","2014","HA","Hectares","0","Units",,,903948.48,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2015","2015","HA","Hectares","0","Units",,,944558.43,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2016","2016","HA","Hectares","0","Units",,,773688.79,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2017","2017","HA","Hectares","0","Units",,,1268297.046,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2018","2018","HA","Hectares","0","Units",,,1310660.461,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2019","2019","HA","Hectares","0","Units",,,1385360.987,,
"CAN","Canada","ORGANIC_FARMING","Organic farming","2020","2020","HA","Hectares","0","Units",,,1701861.999,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1990","1990","HA","Hectares","3","Thousands",,,105151,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1991","1991","HA","Hectares","3","Thousands",,,106154,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1992","1992","HA","Hectares","3","Thousands",,,106177,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1993","1993","HA","Hectares","3","Thousands",,,106180,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1994","1994","HA","Hectares","3","Thousands",,,106190,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1995","1995","HA","Hectares","3","Thousands",,,106195,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1996","1996","HA","Hectares","3","Thousands",,,106310,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1997","1997","HA","Hectares","3","Thousands",,,106310,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1998","1998","HA","Hectares","3","Thousands",,,106325,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1999","1999","HA","Hectares","3","Thousands",,,106326,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2000","2000","HA","Hectares","3","Thousands",,,106330,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2001","2001","HA","Hectares","3","Thousands",,,106550,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2002","2002","HA","Hectares","3","Thousands",,,106550,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2003","2003","HA","Hectares","3","Thousands",,,106550,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2004","2004","HA","Hectares","3","Thousands",,,106570,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2005","2005","HA","Hectares","3","Thousands",,,106570,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2006","2006","HA","Hectares","3","Thousands",,,106570,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2007","2007","HA","Hectares","3","Thousands",,,106700,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2008","2008","HA","Hectares","3","Thousands",,,103355,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2009","2009","HA","Hectares","3","Thousands",,,102682,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2010","2010","HA","Hectares","3","Thousands",,,101807,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2011","2011","HA","Hectares","3","Thousands",,,101322,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2012","2012","HA","Hectares","3","Thousands",,,100512,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2013","2013","HA","Hectares","3","Thousands",,,99486,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2014","2014","HA","Hectares","3","Thousands",,,98748,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2015","2015","HA","Hectares","3","Thousands",,,98680,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2016","2016","HA","Hectares","3","Thousands",,,98338,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2017","2017","HA","Hectares","3","Thousands",,,96946,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2018","2018","HA","Hectares","3","Thousands",,,96516,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2019","2019","HA","Hectares","3","Thousands",,,96106,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2020","2020","HA","Hectares","3","Thousands",,,97138,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1990","1990","HA","Hectares","3","Thousands",,,3513.5,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1991","1991","HA","Hectares","3","Thousands",,,3511.6,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1992","1992","HA","Hectares","3","Thousands",,,3524.1,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1993","1993","HA","Hectares","3","Thousands",,,3519.3,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1994","1994","HA","Hectares","3","Thousands",,,3513,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1995","1995","HA","Hectares","3","Thousands",,,3506.8,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1996","1996","HA","Hectares","3","Thousands",,,3504,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1997","1997","HA","Hectares","3","Thousands",,,3502.1,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1998","1998","HA","Hectares","3","Thousands",,,3496.7,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","1999","1999","HA","Hectares","3","Thousands",,,3495.7,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2000","2000","HA","Hectares","3","Thousands",,,2466.4,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2001","2001","HA","Hectares","3","Thousands",,,2396.4,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2002","2002","HA","Hectares","3","Thousands",,,2387.1,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2003","2003","HA","Hectares","3","Thousands",,,2531.1,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2004","2004","HA","Hectares","3","Thousands",,,2604.3,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2005","2005","HA","Hectares","3","Thousands",,,2837,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2006","2006","HA","Hectares","3","Thousands",,,2790.7,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2007","2007","HA","Hectares","3","Thousands",,,2695.9,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2008","2008","HA","Hectares","3","Thousands",,,2672.1,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2009","2009","HA","Hectares","3","Thousands",,,2689,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2010","2010","HA","Hectares","3","Thousands",,,2772.3,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2011","2011","HA","Hectares","3","Thousands",,,2805.9,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2012","2012","HA","Hectares","3","Thousands",,,2842.2,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2013","2013","HA","Hectares","3","Thousands",,,2891.4,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2014","2014","HA","Hectares","3","Thousands",,,2952.3,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2015","2015","HA","Hectares","3","Thousands",,,3005.96,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2016","2016","HA","Hectares","3","Thousands",,,2954.06,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2017","2017","HA","Hectares","3","Thousands",,,2935.31,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2018","2018","HA","Hectares","3","Thousands",,,2947.23,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2019","2019","HA","Hectares","3","Thousands",,,2974.99,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2020","2020","HA","Hectares","3","Thousands",,,2942.78,,
"LTU","Lithuania","TOTAGR_LAND","Total Agricultural Land area","2021","2021","HA","Hectares","3","Thousands",,,2937.81,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","1999","1999","HA","Hectares","0","Units",,,85,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2000","2000","HA","Hectares","0","Units",,,42.62,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2001","2001","HA","Hectares","0","Units",,,39,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2002","2002","HA","Hectares","0","Units",,,11.6,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2003","2003","HA","Hectares","0","Units",,,16.9,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2004","2004","HA","Hectares","0","Units",,,7.2,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2005","2005","HA","Hectares","0","Units",,,23.1,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2006","2006","HA","Hectares","0","Units",,,2.8,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2007","2007","HA","Hectares","0","Units",,,4.1,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2008","2008","HA","Hectares","0","Units",,,2.34,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2009","2009","HA","Hectares","0","Units",,,0.14,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2010","2010","HA","Hectares","0","Units",,,0.14,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2011","2011","HA","Hectares","0","Units",,,0.14,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2012","2012","HA","Hectares","0","Units",,,0.14,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2013","2013","HA","Hectares","0","Units",,,0.14,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2014","2014","HA","Hectares","0","Units",,,0,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2015","2015","HA","Hectares","0","Units",,,0,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2016","2016","HA","Hectares","0","Units",,,0,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2017","2017","HA","Hectares","0","Units",,,0,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2018","2018","HA","Hectares","0","Units",,,0,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2019","2019","HA","Hectares","0","Units",,,0,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2020","2020","HA","Hectares","0","Units",,,0,,
"FRA","France","TRANSGENIC_CROP","Transgenic crops","2021","2021","HA","Hectares","0","Units",,,0,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2000","2000","HA","Hectares","0","Units",,,102802,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2001","2001","HA","Hectares","0","Units",,,143154,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2002","2002","HA","Hectares","0","Units",,,215843,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2003","2003","HA","Hectares","0","Units",,,400000,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2004","2004","HA","Hectares","0","Units",,,400000,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2005","2005","HA","Hectares","0","Units",,,307691.88,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2006","2006","HA","Hectares","0","Units",,,307691.88,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2007","2007","HA","Hectares","0","Units",,,393461,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2008","2008","HA","Hectares","0","Units",,,332485,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2009","2009","HA","Hectares","0","Units",,,332485,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2010","2010","HA","Hectares","0","Units",,,332485,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2011","2011","HA","Hectares","0","Units",,,366904,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2012","2012","HA","Hectares","0","Units",,,487393.21,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2013","2013","HA","Hectares","0","Units",,,501363.64,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2014","2014","HA","Hectares","0","Units",,,501363.64,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2015","2015","HA","Hectares","0","Units",,,584093.11,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2016","2016","HA","Hectares","0","Units",,,673967.95,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2017","2017","HA","Hectares","0","Units",,,673967.95,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2018","2018","HA","Hectares","0","Units",,,183225,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2019","2019","HA","Hectares","0","Units",,,301891,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2020","2020","HA","Hectares","0","Units",,,219470.29,,
"MEX","Mexico","ORGANIC_FARMING","Organic farming","2021","2021","HA","Hectares","0","Units",,,238483.35,,
"CHE","Switzerland","ARABLELAND","Arable Land","2005","2005","HA","Hectares","3","Thousands",,,406.75,,
"CHE","Switzerland","ARABLELAND","Arable Land","2006","2006","HA","Hectares","3","Thousands",,,407.5,,
"CHE","Switzerland","ARABLELAND","Arable Land","2007","2007","HA","Hectares","3","Thousands",,,407.2,,
"CHE","Switzerland","ARABLELAND","Arable Land","2008","2008","HA","Hectares","3","Thousands",,,406.91,,
"CHE","Switzerland","ARABLELAND","Arable Land","2009","2009","HA","Hectares","3","Thousands",,,406.81,,
"CHE","Switzerland","ARABLELAND","Arable Land","2010","2010","HA","Hectares","3","Thousands",,,405.39,,
"CHE","Switzerland","ARABLELAND","Arable Land","2011","2011","HA","Hectares","3","Thousands",,,404.74,,
"CHE","Switzerland","ARABLELAND","Arable Land","2012","2012","HA","Hectares","3","Thousands",,,404.84,,
"CHE","Switzerland","ARABLELAND","Arable Land","2013","2013","HA","Hectares","3","Thousands",,,404.98,,
"CHE","Switzerland","ARABLELAND","Arable Land","2014","2014","HA","Hectares","3","Thousands",,,402.36,,
"CHE","Switzerland","ARABLELAND","Arable Land","2015","2015","HA","Hectares","3","Thousands",,,400.48,,
"CHE","Switzerland","ARABLELAND","Arable Land","2016","2016","HA","Hectares","3","Thousands",,,400.9,,
"CHE","Switzerland","ARABLELAND","Arable Land","2017","2017","HA","Hectares","3","Thousands",,,400.22,,
"CHE","Switzerland","ARABLELAND","Arable Land","2018","2018","HA","Hectares","3","Thousands",,,399.88,,
"CHE","Switzerland","ARABLELAND","Arable Land","2019","2019","HA","Hectares","3","Thousands",,,400.55,,
"CHE","Switzerland","ARABLELAND","Arable Land","2020","2020","HA","Hectares","3","Thousands",,,401.94,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1990","1990","HA","Hectares","3","Thousands",,,58580.734,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1991","1991","HA","Hectares","3","Thousands",,,60891.432,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1992","1992","HA","Hectares","3","Thousands",,,60207.325,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1993","1993","HA","Hectares","3","Thousands",,,60761.724,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1994","1994","HA","Hectares","3","Thousands",,,61398.531,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1995","1995","HA","Hectares","3","Thousands",,,60801.485,,
